seed,best_fitness,evaluations,x1,x2,x3,x4,x5,x6,x7
0,39.07098565057883,50000,1.0889402684786276,-0.691058644627468,-1.245435085491201,-3.604657095216215,-0.3651089980440736,-3.6816144611491,2.7020516136493167
1,22.962229456122984,50000,-2.3718246456808636,-1.4522219813068193,-2.3824176606740863,0.9747256689979045,-0.9816194313969706,0.4672488452233792,2.4682954021794687
2,31.552302144233355,50000,-1.4824580247929664,1.1902231961844267,3.293851045824473,2.137672216162665,-1.9711451345024955,0.19908204688397824,2.4084170348651854
3,13.096083517156899,50000,2.761094273423963,1.02238937244586,-0.5435962403964889,0.18471490523665923,1.632190248579054,-0.5614826561266006,0.01621507862744953
4,35.15046265258534,50000,-1.7983869376253958,3.992045372029007,-2.1471194810648053,2.3624869277774985,-1.654091401365071,-0.45011412724001887,0.0033029779415449934
5,25.98740233529567,50000,-3.136168700307201,-0.40225102453865125,2.4748587517457876,-2.835679161430119,-0.3439762288031045,-0.5159825764158477,0.4205628947815665
6,25.159107877814137,50000,-1.4704968823364106,-1.8220595276062101,2.6268557714531884,2.57045433281918,0.0319045698028253,1.3382311011177717,-1.4343441943380197
7,37.41262709592147,50000,-2.4629675417505204,-3.1320188774046045,-1.0916283393078607,0.4274336190663164,-1.6274671709699429,-1.2564269599716726,3.7519257777889594
8,33.96023585166069,50000,-0.6945514624831051,-3.4927374616317297,0.24524487894923452,0.504610956608359,3.148766942216894,2.7841478582258627,0.5486921221453589
9,29.42752501608616,50000,-2.9024436860988514,-0.47985904719526906,-1.8554946282238516,1.0543689653503896,-1.190029633619647,-3.599343725789751,-1.6189945126770555
10,24.664344256161304,50000,-0.3989058225816722,0.9102751883799565,-2.034295004322919,-0.6681497075336029,1.7808574015784229,-3.323149748237494,1.7629811878784452
11,16.082655296114044,50000,-2.316881646725121,1.8794569933096839,1.235239424283966,-1.193563450645826,0.07243607494509918,0.1116911851162461,-1.7485387135053887
12,25.350652986113346,50000,0.44616147692227437,0.4141832580812743,-0.3885312798921836,2.119406808288722,0.09558689733684234,-2.0572570992642114,3.7075425440618415
13,22.794586558542225,50000,0.565491682093977,0.47835150993284503,-3.7413579181750958,2.407567454135112,-0.07508169920183883,-0.7313172100085696,-0.4229095632420943
14,31.896272438646452,50000,1.872251466077921,-0.9851364325276135,4.661743808732815,-0.7010227066207131,1.2650455823086149,0.5681549122838581,0.767483309718332
15,16.431606643714318,50000,1.3371486743450045,0.36211052548386524,0.5278671675899871,1.1832930965975152,-0.42592223864266643,1.879307305878184,2.904390309787337
16,16.40784421343892,50000,0.7316456913168601,-0.2981066275536637,0.6656003295441226,-0.5054200748011417,3.237082996488568,-1.6194806561110342,-0.5378049035240628
17,37.96415753784323,50000,4.574030552901219,2.8199270135576624,-0.9016372226780911,1.5084729697004584,1.4503057775574346,0.9880283628199271,-0.07579187581876257
18,40.3172671005114,50000,1.6463947649698918,4.050305097253455,-1.8536643158795518,-0.2433386419261241,1.5146503489510188,0.6923329265908895,-3.3956612838894094
19,28.773778380329972,50000,0.060699494040047375,0.32340328900825943,-3.2044701641007753,-1.9645874476641567,-0.7967303686902594,3.3848426143449952,0.5691051973695527
