seed,best_fitness,evaluations,generations,x1,x2,x3,x4,x5,x6,x7
0,0.3309538102812711,50000,505,-1.2598331319343234,-1.1921926959569284,-0.5935581414453688,0.04510957168755755,-0.3797942849074309,-0.0938362738448614,-0.04476080436399452
1,0.2528089442288855,50000,505,-0.031133513999743352,0.2829484513117365,-0.9341488877040568,-0.6195165158917999,-1.1606659452195653,-0.2543647103685309,-0.9664075110975199
2,0.382777336289919,50000,505,-0.12738046522279262,-1.314466503127833,0.019776646335226696,-0.6704469667585917,0.06583298676708488,0.024866562292988493,-0.2709176572945032
3,0.36141101294495576,50000,505,-0.9964037881660985,-0.20036147776550428,-0.2708940219297652,-0.4761112479653219,0.4249811600764471,0.12552151142338297,-0.8373070400346105
4,0.3396009329153806,50000,505,0.07377195483612348,-0.3407126792129801,-1.136763109985986,-1.174805514571768,-0.16895605346069548,0.045729852948070686,-0.14384091224184734
5,0.3395177737805258,50000,505,-0.0033368163670975497,-0.3942793899802536,-0.4251450615823544,-0.06498612069543902,-1.5071840538740195,-0.04783424890640897,-0.2196425166534609
6,0.31801740781819327,50000,505,0.03403433313992819,-0.5471538488625367,-1.4662351812591061,-0.5052890980193476,0.06268560412034391,-0.3683318833397581,-0.0583271803801203
7,0.35085529380390584,50000,505,-0.11553547844114735,-0.7738410169940048,-0.08219994080692096,-0.17389271939924955,0.034835058879839606,-0.2438507547591727,-1.4456065411860448
8,0.3112481559917428,50000,505,-0.48662433018601925,-0.2427744963983391,-0.12748990181343733,-0.36589278722271673,-1.349864034889995,0.11970736736880054,-1.1490396979337976
9,0.3383150606867091,50000,505,0.08158222128863105,0.03681914903520136,-0.861295889681903,-0.03272221761545557,-0.3479071188690322,-1.2441708474308417,-0.05530367938308377
10,0.32267073891268305,50000,505,-0.5252995143227313,0.15181388295796927,0.19457796556290963,-0.6264539846857793,-0.9713234407221328,-0.11571590866489238,-1.17525140902131
11,0.25010014423651006,50000,505,-1.5758626637421904,-0.09168380169649004,-0.8327334585301098,-0.07484195465497329,-0.46541835505522144,-0.23897965652828218,-0.24505197620708602
12,0.2975745682519842,50000,505,-0.24670841624154158,-1.1171975804767627,-0.5489937260121215,-0.10394741514064496,-1.3073332920884195,0.12259329100863532,-0.17439157385630855
13,0.3833052261772798,50000,505,-1.3141386307611052,-0.00499191377708468,0.014948621237151209,-0.9522784997246907,-0.22748406168428104,-0.24644765183776646,-0.017601407258610636
14,0.24464318410472752,50000,505,-1.2175111796984646,0.4636052447263683,-0.4541079244873334,-0.3950796993170175,-0.9571156425090326,-0.6740586571149418,-0.7327622766652404
15,0.24022418974150328,50000,505,-1.0213860234272487,-0.6168588111109843,-1.2597972085724822,-0.1901806462397426,-1.053814631367367,0.1181736563063038,-0.17974030484690126
16,0.3005004269990215,50000,505,0.3947794893633078,-0.47893690801833083,-0.747283157144485,-0.6481900065161588,-1.0035350361811122,-0.8970967130673939,0.1741272433345981
17,0.31698714446873644,50000,505,-0.07174118286687997,0.002222810757133497,-0.8618590173789629,-0.10606617643511113,-0.8261351994866045,-1.3854275373120701,-0.1293369701672694
18,0.35021972770423604,50000,505,-0.6773473197974006,0.08709141427556104,-0.5723665173277515,-0.06003101094131967,-0.049513267076910304,-0.03259645180812907,-1.3683167815997703
19,0.2959199120991214,50000,505,-0.8473845072694299,-0.49450680814007,0.044172072843322224,-1.1106944739483235,-1.3177162095981858,-0.3470095155429975,0.018707510106680928
