seed,best_fitness,evaluations,generations,x1,x2,x3,x4,x5,x6,x7
0,0.36115379116973373,50000,505,-0.8807490687297759,-1.1417373093398864,0.3384261229851031,-1.180403232115014,-0.6306910664019914,-0.612563604467205,-0.5392866552029539
1,0.2715022724461468,50000,505,-0.5308887497365098,0.11443147407981527,-0.3247074619577952,-1.4444175648942192,-0.35068317196388593,-0.5838201175939616,-1.1471964978007927
2,0.29932938190923875,50000,505,-0.35335388360499864,-1.6820923575904336,-0.4950835268774388,-0.3524581615712316,-0.020435271634114793,-0.3762074065259501,-0.247651556041629
3,0.3229560267357725,50000,505,-0.18936864165267592,-0.18656431199150558,-1.0010397451276816,-0.4221805862077269,0.11408006185090687,-1.3745107065714244,-0.10416632171442006
4,0.24280088026989638,50000,505,-0.4579976172474368,-1.184478905647626,0.07696653678165463,-0.12048858532306211,-1.3758512358274992,-0.6108888789156027,-0.34741645467880466
5,0.3482051991059204,50000,505,-0.5631399080391157,-0.4404208570493514,0.3451781881376335,-0.290783281222619,-0.8498551787071703,0.050076090651952725,-1.2483514625385916
6,0.30848489632348675,50000,505,-0.21206759872336872,-1.4663616495547545,-0.3195643222011694,-0.23351930242304852,0.26591680789791405,-0.703680038800109,-0.46269906950044176
7,0.2626578891892994,50000,505,-0.922815755425588,-0.266308436685949,0.1882383799179758,-0.24838732699585603,-1.2154308551999722,-0.7890523938946553,-1.1203912479443217
8,0.2858285905879087,50000,505,-0.005784862906877245,0.012896430566618898,-0.6196204319339258,-0.19827041911323753,-1.5389805859950996,-0.7066848828387097,-0.6217323149472356
9,0.2586560094172903,50000,505,-1.2414780556537237,-0.08066823450694487,-0.5653612930695816,-0.9654939746305302,-0.9131465083201877,0.07277715585030547,0.05199546549717713
10,0.23372553438962007,50000,505,-0.3299764286756272,-0.9941935100924125,0.06307507161049077,-1.4639386376148507,-0.084442509105934,-0.6222401623179956,-0.7076225952133091
11,0.24596061651718815,50000,505,-0.07880154362567407,-0.34094491412227823,-1.118425232779516,-1.5282638484251483,-0.6430139155369188,-0.20846607309840623,-0.45043699791741526
12,0.10875203371988817,50000,505,-0.5629802083461943,-0.6113554848415159,-0.9164478510606338,-0.3312755155121293,-1.1997723413324455,-0.5434610490457209,-1.5198950186505091
13,0.2635113649335168,50000,505,0.003948900847915682,-1.4698220385038745,-0.7791482074857565,-0.5176150908932922,-0.6869737177017277,0.1317697987323443,-0.7069566818515463
14,0.3317737542593501,50000,505,-0.5186436831006229,-1.3871665331284826,0.17843916716408123,-0.7202638900194412,-0.8631624442134185,0.005487208876554611,-0.24037405381843968
15,0.3113060449592502,50000,505,-0.3555014940590162,-0.549129656730672,-1.7006794341282525,-0.7057793065430811,-0.5049733579472191,-0.28733510013260827,-0.05721142109958352
16,0.23100491824442515,50000,505,-0.2964982273073012,-0.5379646009385328,0.08619899264839012,-0.3984763798041737,-0.4397864772740911,-1.0896716637500958,-1.5009866676238053
17,0.33266846310932174,50000,505,-1.317191082458323,-1.3996041808462014,-0.630812951676895,-0.48516438601452666,-0.2126688829910156,-0.2738288811849288,-0.15464615010205796
18,0.24631573786719857,50000,505,-0.3683971236852428,-0.39904447800095755,-0.010495359536401143,-1.311622007048716,-0.987293290567167,-1.25313659265518,-0.36301468532899706
19,0.2893547232085619,50000,505,-1.3863828782387217,-0.34121828520118314,-0.10904962652781282,-1.0786000416471933,-0.07386831874724244,-0.5247103335880123,-1.020293779962696
